GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mecn,com.mecn,MacroEconomicNetwork,299,0,12,0,60,0,11,0,5,0
mecn,com.mecn,MECNTools.AnalysisResult,27,0,0,0,9,0,5,0,5,0
mecn,com.mecn,MECNTools,64,0,0,0,18,0,6,0,6,0
mecn,com.mecn,MECNApplication,23,0,0,0,8,0,2,0,2,0
mecn,com.mecn,MECNTools.AnalyzerBuilder,193,0,16,0,45,0,16,0,8,0
mecn,com.mecn.api,DocsController,212,0,0,0,45,0,3,0,3,0
mecn,com.mecn.api,NetworkController,846,0,30,0,158,0,27,0,12,0
mecn,com.mecn.diagnosis,DiagnosticReport.Builder,80,0,0,0,22,0,10,0,10,0
mecn,com.mecn.diagnosis,DiagnosticReport.Severity,81,0,0,0,12,0,4,0,4,0
mecn,com.mecn.diagnosis,DiagnosticReport.OverallScore,111,0,6,0,17,0,8,0,5,0
mecn,com.mecn.diagnosis,DiagnosticReport.Priority,57,0,0,0,10,0,4,0,4,0
mecn,com.mecn.diagnosis,DiagnosticReport.Recommendation,27,0,0,0,10,0,5,0,5,0
mecn,com.mecn.diagnosis,DiagnosticReport,254,0,10,0,39,0,13,0,8,0
mecn,com.mecn.diagnosis,CausalDiagnoser,1143,0,137,0,242,0,88,0,16,0
mecn,com.mecn.diagnosis,DiagnosticReport.Warning,27,0,0,0,10,0,5,0,5,0
mecn,com.mecn.diagnosis,DiagnosticReport.QualityMetric,27,0,0,0,10,0,5,0,5,0
mecn,com.mecn.diagnosis,CausalDiagnosisExample,303,0,18,0,51,0,13,0,4,0
mecn,com.mecn.data.provider,DataProvider,2,0,0,0,1,0,1,0,1,0
mecn,com.mecn.data.provider,SimulatedDataProvider,74,0,4,0,19,0,11,0,9,0
mecn,com.mecn.preprocess,PreprocessConfig.SeasonalMethod,34,0,0,0,4,0,1,0,1,0
mecn,com.mecn.preprocess,PreprocessConfig,85,0,0,0,33,0,17,0,17,0
mecn,com.mecn.preprocess,PreprocessConfig.MissingValueMethod,44,0,0,0,5,0,1,0,1,0
mecn,com.mecn.causal,FusionStrategy.ConfiguredStrategy,15,0,0,0,6,0,3,0,3,0
mecn,com.mecn.causal,CausalResult,84,44,8,0,17,14,9,6,5,6
mecn,com.mecn.causal,PCMCI,878,0,86,0,154,0,62,0,19,0
mecn,com.mecn.causal,CausalMatrix,29,72,0,0,12,19,7,9,7,9
mecn,com.mecn.causal,CausalEngineBuilder,180,0,14,0,46,0,19,0,12,0
mecn,com.mecn.causal,LassoRegression,343,0,28,0,67,0,22,0,8,0
mecn,com.mecn.causal,CausalDiscoveryExample,465,0,14,0,90,0,16,0,9,0
mecn,com.mecn.causal,EnsembleFusionStrategy,28,297,10,40,5,59,9,20,0,4
mecn,com.mecn.causal,FusionStrategy,40,0,0,0,8,0,2,0,2,0
mecn,com.mecn.causal,CausalEngineImpl,22,345,4,26,4,67,4,22,0,11
mecn,com.mecn.causal,CausalMethod,46,77,6,10,17,14,14,6,8,4
mecn,com.mecn.causal,GrangerCausality,404,555,32,38,62,102,23,28,3,13
mecn,com.mecn.causal,CausalConfig,17,44,0,0,5,16,4,7,4,7
mecn,com.mecn.model,NetworkGraph,89,170,10,6,18,35,15,11,7,11
mecn,com.mecn.model,CausalEdge,65,223,25,21,5,55,24,18,3,16
mecn,com.mecn.model,TimeSeriesData,163,0,8,0,46,0,22,0,18,0
mecn,com.mecn.model,EconomicIndicator.Unit,0,54,0,0,0,6,0,1,0,1
mecn,com.mecn.model,EconomicIndicator.Frequency,0,54,0,0,0,6,0,1,0,1
mecn,com.mecn.model,EconomicIndicator,83,36,12,0,23,15,18,6,12,6
mecn,com.mecn.model,CentralityResult,173,0,12,0,50,0,29,0,23,0
mecn,com.mecn.data.generator,EnhancedDataGenerator,136,425,14,35,30,72,11,25,2,8
mecn,com.mecn.network,RiskPath,34,51,0,0,9,16,5,6,5,6
mecn,com.mecn.network,NetworkBuilder,0,233,3,23,0,47,3,17,0,7
mecn,com.mecn.network,RippleSimulator,29,570,9,45,8,115,13,27,4,9
mecn,com.mecn.network,RippleResult,75,141,12,6,17,30,11,15,5,12
mecn,com.mecn.network,SystemicImportance,41,29,0,0,11,12,6,6,6,6
